arm,group,fold,seed,split_seed,inner_fold,val_positive_events,val_pr_auc,val_ece,val_brier,n_features,n_nan_cells,feat_seconds,missing_policy,slope_time
A1_zero_rank,encoding,0,42,42,0,1,0.00045934772622875517,0.023626508050040733,0.016831044920788848,95,0,37.664,zero,rank
A1_zero_rank,encoding,0,43,42,0,1,0.0005327650506126798,0.022719558163144464,0.015690208258673576,95,0,37.664,zero,rank
A1_zero_rank,encoding,1,42,42,1,3,0.6857399208148641,0.048934144405210864,0.04754531003619237,95,0,37.664,zero,rank
A1_zero_rank,encoding,1,43,42,1,3,0.6883102278581669,0.04836090726700884,0.047175061377315496,95,0,37.664,zero,rank
A1_zero_rank,encoding,2,42,42,2,5,0.11502161463013932,0.05546198546404554,0.05530988378371395,95,0,37.664,zero,rank
A1_zero_rank,encoding,2,43,42,2,5,0.10691656872974312,0.055309177839902295,0.055262382599662145,95,0,37.664,zero,rank
A1_zero_rank,encoding,3,42,7,0,2,0.186082221337028,0.021926575991772917,0.019012612203980424,95,0,37.664,zero,rank
A1_zero_rank,encoding,3,43,7,0,2,0.20828728635369562,0.022783654144120917,0.020240871360967343,95,0,37.664,zero,rank
A1_zero_rank,encoding,4,42,7,1,1,0.09127986583066494,0.029510831158662685,0.01709059978649606,95,0,37.664,zero,rank
A1_zero_rank,encoding,4,43,7,1,1,0.09526706475310484,0.03399178220978648,0.02118719005544742,95,0,37.664,zero,rank
A1_zero_rank,encoding,5,42,7,2,3,0.4560662933808243,0.038275796326794176,0.03782776636804137,95,0,37.664,zero,rank
A1_zero_rank,encoding,5,43,7,2,3,0.4574495722398693,0.03809891756855778,0.03772279276340805,95,0,37.664,zero,rank
A1_zero_rank,encoding,6,42,2024,0,5,0.21216597612327392,0.06905445924664645,0.07088642753031703,95,0,37.664,zero,rank
A1_zero_rank,encoding,6,43,2024,0,5,0.21216132617104613,0.06825656078420417,0.0710395702023336,95,0,37.664,zero,rank
A1_zero_rank,encoding,7,42,2024,1,1,0.029674798514535732,0.02065323652623181,0.016698487105253706,95,0,37.664,zero,rank
A1_zero_rank,encoding,7,43,2024,1,1,0.03146583096937095,0.019946243655665448,0.01715819070779283,95,0,37.664,zero,rank
A1_zero_rank,encoding,8,42,2024,2,1,0.003875968992248062,0.00046345595965453237,0.00015891372982968036,95,0,37.664,zero,rank
A1_zero_rank,encoding,8,43,2024,2,1,0.004807692307692308,0.0005808956755840581,0.00016496710296399336,95,0,37.664,zero,rank
A2_zero_index,encoding,0,42,42,0,1,0.0005408328826392645,0.023123512847835388,0.016198570865429855,95,0,3.121,zero,index
A2_zero_index,encoding,0,43,42,0,1,0.0005167958656330749,0.022607049224199316,0.015660795519757662,95,0,3.121,zero,index
A2_zero_index,encoding,1,42,42,1,3,0.6892046167808229,0.04867775441096606,0.04732245369520047,95,0,3.121,zero,index
A2_zero_index,encoding,1,43,42,1,3,0.6897440359955288,0.04834135178565008,0.04714919752581194,95,0,3.121,zero,index
A2_zero_index,encoding,2,42,42,2,5,0.11227782096148915,0.055369675937203496,0.05527772001785592,95,0,3.121,zero,index
A2_zero_index,encoding,2,43,42,2,5,0.10354895035471343,0.055301335615172434,0.05525360833957368,95,0,3.121,zero,index
A2_zero_index,encoding,3,42,7,0,2,0.1503526408755379,0.02199496196436017,0.018892681124381826,95,0,3.121,zero,index
A2_zero_index,encoding,3,43,7,0,2,0.21234734298862923,0.023536279215779582,0.020976296905385307,95,0,3.121,zero,index
