fold,variable,kept_refit_on_train_wells,kept_in_frozen_cache
0,P-ANULAR,False,True
0,P-JUS-CKGL,True,True
0,P-MON-CKP,True,True
0,P-PDG,True,False
0,P-TPT,True,False
0,QGL,True,False
0,T-JUS-CKP,True,True
0,T-TPT,True,True
1,P-ANULAR,False,True
1,P-JUS-CKGL,True,True
1,P-MON-CKP,True,True
1,P-PDG,True,False
1,P-TPT,True,False
1,QGL,True,False
1,T-JUS-CKP,True,True
1,T-TPT,True,True
2,P-ANULAR,False,True
2,P-JUS-CKGL,True,True
2,P-MON-CKP,True,True
2,P-PDG,True,False
2,P-TPT,True,False
2,QGL,True,False
2,T-JUS-CKP,True,True
2,T-TPT,True,True
