model,fold,seed,condition,metric_name,value
gru,0,42,real_only,best_epoch,7.0
gru,0,42,real_only,best_val_pr_auc,0.0004210526315789
gru,0,42,real_only,n_epochs_trained,18.0
gru,1,42,real_only,best_epoch,14.0
gru,1,42,real_only,best_val_pr_auc,0.6432194981008946
gru,1,42,real_only,n_epochs_trained,25.0
gru,2,42,real_only,best_epoch,0.0
gru,2,42,real_only,best_val_pr_auc,0.1779667241639228
gru,2,42,real_only,n_epochs_trained,11.0
gru,0,42,real_plus_sim,best_epoch,9.0
gru,0,42,real_plus_sim,best_val_pr_auc,0.0002915451895043
gru,0,42,real_plus_sim,n_epochs_trained,20.0
gru,1,42,real_plus_sim,best_epoch,11.0
gru,1,42,real_plus_sim,best_val_pr_auc,0.5678399472436916
gru,1,42,real_plus_sim,n_epochs_trained,22.0
gru,2,42,real_plus_sim,best_epoch,3.0
gru,2,42,real_plus_sim,best_val_pr_auc,0.517557919251973
gru,2,42,real_plus_sim,n_epochs_trained,14.0
tcn,0,42,real_only,best_epoch,1.0
tcn,0,42,real_only,best_val_pr_auc,0.0013550135501355
tcn,0,42,real_only,n_epochs_trained,12.0
tcn,1,42,real_only,best_epoch,4.0
tcn,1,42,real_only,best_val_pr_auc,0.396817709380171
tcn,1,42,real_only,n_epochs_trained,15.0
tcn,2,42,real_only,best_epoch,0.0
tcn,2,42,real_only,best_val_pr_auc,0.0365267979209525
tcn,2,42,real_only,n_epochs_trained,11.0
tcn,0,42,real_plus_sim,best_epoch,2.0
tcn,0,42,real_plus_sim,best_val_pr_auc,0.0004587155963302
tcn,0,42,real_plus_sim,n_epochs_trained,13.0
tcn,1,42,real_plus_sim,best_epoch,18.0
tcn,1,42,real_plus_sim,best_val_pr_auc,0.4526707285099035
tcn,1,42,real_plus_sim,n_epochs_trained,29.0
tcn,2,42,real_plus_sim,best_epoch,13.0
tcn,2,42,real_plus_sim,best_val_pr_auc,0.2553390487217423
tcn,2,42,real_plus_sim,n_epochs_trained,24.0
