model,condition,fold,test_base_rate,test_pr_auc,lift,test_roc_auc,score_mean,score_sd,score_p50,score_p99,thr_frozen,far_val,far_test,far_overshoot,recall_frozen,thr_oracle,recall_oracle,n_test_events,val_normal_h,test_normal_h
gru,real_only,0,0.05504,0.3193,5.8,0.716,0.1438,0.2678,0.0154,0.977,0.98,0.0075,0.0038,0.4,0.0,0.92,0.0,5,531.7,523.0
gru,real_only,1,0.01445,0.0091,0.63,0.2765,0.1046,0.2702,0.0003,0.9984,0.31,0.0094,0.0889,8.9,0.0,1.0,0.0,5,319.0,854.7
gru,real_only,2,0.04121,0.1198,2.91,0.8224,0.0536,0.1872,0.0032,0.9888,0.53,0.0096,0.0179,1.8,0.0,0.97,0.0,4,523.0,560.0
gru,real_plus_sim,0,0.05504,0.3142,5.71,0.7492,0.0821,0.2404,0.0004,0.9965,0.98,0.0094,0.0096,1.0,0.2,0.98,0.2,5,531.7,523.0
gru,real_plus_sim,1,0.01445,0.0167,1.16,0.4161,0.0976,0.2531,0.0,0.9992,0.54,0.0094,0.048,4.8,0.0,1.0,0.0,5,319.0,854.7
gru,real_plus_sim,2,0.04121,0.1644,3.99,0.8384,0.091,0.23,0.0006,0.9957,0.97,0.0096,0.0268,2.7,0.0,1.0,0.0,4,523.0,560.0
tcn,real_only,0,0.05504,0.0359,0.65,0.2714,0.4288,0.298,0.4816,0.8846,0.87,0.0094,0.0191,1.9,0.0,1.0,0.0,5,531.7,523.0
tcn,real_only,1,0.01445,0.0107,0.74,0.3859,0.4651,0.3919,0.5488,1.0,0.99,0.0063,0.0772,7.7,0.0,1.0,0.0,5,319.0,854.7
tcn,real_only,2,0.04121,0.024,0.58,0.0616,0.3593,0.2994,0.3632,0.7633,0.795,0.0038,0.0,0.0,0.25,0.78,0.25,4,523.0,560.0
tcn,real_plus_sim,0,0.05504,0.0334,0.61,0.1971,0.6055,0.3321,0.6981,0.9833,0.975,0.0075,0.086,8.6,0.0,0.985,0.0,5,531.7,523.0
tcn,real_plus_sim,1,0.01445,0.1404,9.72,0.5799,0.1801,0.3162,0.0035,0.9996,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5,319.0,854.7
tcn,real_plus_sim,2,0.04121,0.1742,4.23,0.5608,0.1248,0.289,0.0014,1.0,1.0,0.0134,0.0357,3.6,0.0,1.0,0.0,4,523.0,560.0
xgboost,real_only,0,0.05504,0.1624,2.95,0.655,0.0446,0.1442,0.0004,0.829,0.855,0.0094,0.0134,1.3,0.0,0.88,0.0,5,531.7,523.0
xgboost,real_only,1,0.01445,0.0086,0.59,0.2329,0.0335,0.133,0.0001,0.8767,0.005,0.0,0.1509,15.1,0.0,0.72,0.0,5,319.0,854.7
xgboost,real_only,2,0.04121,0.1676,4.07,0.7778,0.0063,0.0558,0.0,0.1916,0.135,0.0096,0.0161,1.6,0.5,0.295,0.5,4,523.0,560.0
xgboost,real_plus_sim,0,0.05504,0.4598,8.35,0.8947,0.0503,0.1528,0.0035,0.8939,0.96,0.0075,0.0115,1.1,0.0,0.815,0.0,5,531.7,523.0
xgboost,real_plus_sim,1,0.01445,0.0126,0.87,0.3317,0.0223,0.1038,0.0003,0.6407,0.19,0.0094,0.0421,4.2,0.0,0.865,0.0,5,319.0,854.7
xgboost,real_plus_sim,2,0.04121,0.1539,3.74,0.8319,0.0315,0.1345,0.0001,0.8549,0.84,0.0096,0.0107,1.1,0.5,0.845,0.5,4,523.0,560.0
