model,condition,fold,well,inst,n_windows,n_pre_onset,peak_pre_onset,normal_p99,normal_max,separable_vs_p99
gru,real_only,0,23,796,215,109,0.9204,0.9673,0.9915,False
gru,real_only,0,23,797,41,19,0.0048,0.9673,0.9915,False
gru,real_only,0,23,798,342,31,0.2137,0.9673,0.9915,False
gru,real_only,0,23,799,171,85,0.2988,0.9673,0.9915,False
gru,real_only,0,23,800,142,29,0.0182,0.9673,0.9915,False
gru,real_only,1,13,756,14,13,0.0005,0.9985,1.0,False
gru,real_only,1,18,778,175,104,0.0005,0.9985,1.0,False
gru,real_only,1,18,779,110,83,0.0001,0.9985,1.0,False
gru,real_only,1,21,786,194,107,0.0,0.9985,1.0,False
gru,real_only,1,22,787,186,108,0.0989,0.9985,1.0,False
gru,real_only,2,9,748,437,110,0.017,0.9888,0.9925,False
gru,real_only,2,9,749,214,85,0.0289,0.9888,0.9925,False
gru,real_only,2,9,750,109,102,0.0162,0.9888,0.9925,False
gru,real_only,2,11,752,48,0,,0.9888,0.9925,False
gru,real_plus_sim,0,23,796,215,109,0.9402,0.9948,0.9991,False
gru,real_plus_sim,0,23,797,41,19,0.0003,0.9948,0.9991,False
gru,real_plus_sim,0,23,798,342,31,0.9999,0.9948,0.9991,True
gru,real_plus_sim,0,23,799,171,85,0.0387,0.9948,0.9991,False
gru,real_plus_sim,0,23,800,142,29,0.0005,0.9948,0.9991,False
gru,real_plus_sim,1,13,756,14,13,0.0812,0.9992,1.0,False
gru,real_plus_sim,1,18,778,175,104,0.0039,0.9992,1.0,False
gru,real_plus_sim,1,18,779,110,83,0.0085,0.9992,1.0,False
gru,real_plus_sim,1,21,786,194,107,0.0,0.9992,1.0,False
gru,real_plus_sim,1,22,787,186,108,0.0,0.9992,1.0,False
gru,real_plus_sim,2,9,748,437,110,0.5132,0.9958,0.9996,False
gru,real_plus_sim,2,9,749,214,85,0.9305,0.9958,0.9996,False
gru,real_plus_sim,2,9,750,109,102,0.6989,0.9958,0.9996,False
gru,real_plus_sim,2,11,752,48,0,,0.9958,0.9996,False
tcn,real_only,0,23,796,215,109,0.8557,1.0,1.0,False
tcn,real_only,0,23,797,41,19,0.5914,1.0,1.0,False
tcn,real_only,0,23,798,342,31,0.8843,1.0,1.0,False
tcn,real_only,0,23,799,171,85,0.7084,1.0,1.0,False
tcn,real_only,0,23,800,142,29,0.5802,1.0,1.0,False
tcn,real_only,1,13,756,14,13,0.8834,1.0,1.0,False
tcn,real_only,1,18,778,175,104,0.6296,1.0,1.0,False
tcn,real_only,1,18,779,110,83,0.6752,1.0,1.0,False
tcn,real_only,1,21,786,194,107,0.834,1.0,1.0,False
tcn,real_only,1,22,787,186,108,0.8946,1.0,1.0,False
tcn,real_only,2,9,748,437,110,0.7048,0.7632,0.8047,False
tcn,real_only,2,9,749,214,85,0.6387,0.7632,0.8047,False
tcn,real_only,2,9,750,109,102,0.804,0.7632,0.8047,True
tcn,real_only,2,11,752,48,0,,0.7632,0.8047,False
tcn,real_plus_sim,0,23,796,215,109,0.8956,0.9838,0.9953,False
tcn,real_plus_sim,0,23,797,41,19,0.6447,0.9838,0.9953,False
tcn,real_plus_sim,0,23,798,342,31,0.9761,0.9838,0.9953,False
tcn,real_plus_sim,0,23,799,171,85,0.76,0.9838,0.9953,False
tcn,real_plus_sim,0,23,800,142,29,0.6534,0.9838,0.9953,False
tcn,real_plus_sim,1,13,756,14,13,0.1019,0.9991,0.9998,False
tcn,real_plus_sim,1,18,778,175,104,0.9997,0.9991,0.9998,True
tcn,real_plus_sim,1,18,779,110,83,0.3449,0.9991,0.9998,False
tcn,real_plus_sim,1,21,786,194,107,0.1221,0.9991,0.9998,False
tcn,real_plus_sim,1,22,787,186,108,0.4621,0.9991,0.9998,False
tcn,real_plus_sim,2,9,748,437,110,0.0003,1.0,1.0,False
tcn,real_plus_sim,2,9,749,214,85,0.3301,1.0,1.0,False
tcn,real_plus_sim,2,9,750,109,102,0.9236,1.0,1.0,False
tcn,real_plus_sim,2,11,752,48,0,,1.0,1.0,False
xgboost,real_only,0,23,796,215,109,0.3182,0.8249,0.993,False
xgboost,real_only,0,23,797,41,19,0.0,0.8249,0.993,False
xgboost,real_only,0,23,798,342,31,0.0368,0.8249,0.993,False
xgboost,real_only,0,23,799,171,85,0.0004,0.8249,0.993,False
xgboost,real_only,0,23,800,142,29,0.0002,0.8249,0.993,False
xgboost,real_only,1,13,756,14,13,0.0021,0.8779,0.9969,False
xgboost,real_only,1,18,778,175,104,0.0,0.8779,0.9969,False
xgboost,real_only,1,18,779,110,83,0.0002,0.8779,0.9969,False
xgboost,real_only,1,21,786,194,107,0.0001,0.8779,0.9969,False
xgboost,real_only,1,22,787,186,108,0.0003,0.8779,0.9969,False
xgboost,real_only,2,9,748,437,110,0.8368,0.0506,0.9922,True
xgboost,real_only,2,9,749,214,85,0.0047,0.0506,0.9922,False
xgboost,real_only,2,9,750,109,102,0.459,0.0506,0.9922,True
xgboost,real_only,2,11,752,48,0,,0.0506,0.9922,False
xgboost,real_plus_sim,0,23,796,215,109,0.3747,0.532,0.9987,False
xgboost,real_plus_sim,0,23,797,41,19,0.0084,0.532,0.9987,False
xgboost,real_plus_sim,0,23,798,342,31,0.5009,0.532,0.9987,False
xgboost,real_plus_sim,0,23,799,171,85,0.0929,0.532,0.9987,False
xgboost,real_plus_sim,0,23,800,142,29,0.013,0.532,0.9987,False
xgboost,real_plus_sim,1,13,756,14,13,0.0058,0.6498,0.9972,False
xgboost,real_plus_sim,1,18,778,175,104,0.0431,0.6498,0.9972,False
xgboost,real_plus_sim,1,18,779,110,83,0.1663,0.6498,0.9972,False
xgboost,real_plus_sim,1,21,786,194,107,0.0,0.6498,0.9972,False
xgboost,real_plus_sim,1,22,787,186,108,0.0003,0.6498,0.9972,False
xgboost,real_plus_sim,2,9,748,437,110,0.9731,0.6978,0.9891,True
xgboost,real_plus_sim,2,9,749,214,85,0.9998,0.6978,0.9891,True
xgboost,real_plus_sim,2,9,750,109,102,0.054,0.6978,0.9891,False
xgboost,real_plus_sim,2,11,752,48,0,,0.6978,0.9891,False
