model,fold,seed,condition,metric_name,value
gru,0,42,real_only,best_val_pr_auc,0.00025806451612903227
gru,0,42,real_only,best_epoch,0
gru,0,42,real_only,n_epochs_trained,11
gru,1,42,real_only,best_val_pr_auc,0.8250961605588009
gru,1,42,real_only,best_epoch,25
gru,1,42,real_only,n_epochs_trained,36
gru,2,42,real_only,best_val_pr_auc,0.20368485097766614
gru,2,42,real_only,best_epoch,1
gru,2,42,real_only,n_epochs_trained,12
gru,0,42,real_plus_sim,best_val_pr_auc,0.0001976284584980237
gru,0,42,real_plus_sim,best_epoch,4
gru,0,42,real_plus_sim,n_epochs_trained,15
gru,1,42,real_plus_sim,best_val_pr_auc,0.49488074580084124
gru,1,42,real_plus_sim,best_epoch,8
gru,1,42,real_plus_sim,n_epochs_trained,19
gru,2,42,real_plus_sim,best_val_pr_auc,0.4699416832234708
gru,2,42,real_plus_sim,best_epoch,2
gru,2,42,real_plus_sim,n_epochs_trained,13
tcn,0,42,real_only,best_val_pr_auc,0.011111111111111112
tcn,0,42,real_only,best_epoch,2
tcn,0,42,real_only,n_epochs_trained,13
tcn,1,42,real_only,best_val_pr_auc,0.07316249365923042
tcn,1,42,real_only,best_epoch,10
tcn,1,42,real_only,n_epochs_trained,21
tcn,2,42,real_only,best_val_pr_auc,0.048799613206690615
tcn,2,42,real_only,best_epoch,0
tcn,2,42,real_only,n_epochs_trained,11
tcn,0,42,real_plus_sim,best_val_pr_auc,0.0008764241893076249
tcn,0,42,real_plus_sim,best_epoch,0
tcn,0,42,real_plus_sim,n_epochs_trained,11
tcn,1,42,real_plus_sim,best_val_pr_auc,0.14068581019407503
tcn,1,42,real_plus_sim,best_epoch,6
tcn,1,42,real_plus_sim,n_epochs_trained,17
tcn,2,42,real_plus_sim,best_val_pr_auc,0.4363308340155799
tcn,2,42,real_plus_sim,best_epoch,24
tcn,2,42,real_plus_sim,n_epochs_trained,35
