model,condition,fold,arm,pooled_roc,thr,far_val,far_test,n_events,n_flagged,recall,median_lead_s
gru,real_only,0,raw,0.716,0.98,0.0075,0.0038,5,0,0.0,
gru,real_only,0,z_warmup,0.744,2031.4593,0.0075,0.0,4,0,0.0,
gru,real_only,0,robust,0.712,1523.6665,0.0075,0.0,4,0,0.0,
gru,real_only,1,raw,0.277,0.31,0.0094,0.0889,5,0,0.0,
gru,real_only,1,z_warmup,0.559,72008.2231,0.0063,0.0047,4,0,0.0,
gru,real_only,1,robust,0.55,70156.0825,0.0063,0.007,4,0,0.0,
gru,real_only,2,raw,0.822,0.53,0.0096,0.0179,4,0,0.0,
gru,real_only,2,z_warmup,0.843,253.6201,0.0076,0.0429,3,0,0.0,
gru,real_only,2,robust,0.836,190.6991,0.0076,0.0446,3,0,0.0,
gru,real_plus_sim,0,raw,0.749,0.98,0.0094,0.0096,5,1,0.2,2096.0
gru,real_plus_sim,0,z_warmup,0.644,11362.9781,0.0056,0.0,4,0,0.0,
gru,real_plus_sim,0,robust,0.655,12352.4204,0.0038,0.0019,4,0,0.0,
gru,real_plus_sim,1,raw,0.416,0.54,0.0094,0.048,5,0,0.0,
gru,real_plus_sim,1,z_warmup,0.628,111.7379,0.0094,0.0913,4,1,0.25,2033.0
gru,real_plus_sim,1,robust,0.599,16539.7273,0.0063,0.0374,4,0,0.0,
gru,real_plus_sim,2,raw,0.838,0.97,0.0096,0.0268,4,0,0.0,
gru,real_plus_sim,2,z_warmup,0.306,7823.296,0.0057,0.0107,3,1,0.333,705.0
gru,real_plus_sim,2,robust,0.301,9268.5783,0.0076,0.0107,3,1,0.333,255.0
tcn,real_only,0,raw,0.271,0.87,0.0094,0.0191,5,0,0.0,
tcn,real_only,0,z_warmup,0.349,5.9147,0.0056,0.0249,4,0,0.0,
tcn,real_only,0,robust,0.34,5.3103,0.0075,0.0325,4,0,0.0,
tcn,real_only,1,raw,0.386,0.99,0.0063,0.0772,5,0,0.0,
tcn,real_only,1,z_warmup,0.265,8.3519,0.0094,0.0035,4,1,0.25,1664.0
tcn,real_only,1,robust,0.2,379217.9258,0.0094,0.007,4,0,0.0,
tcn,real_only,2,raw,0.062,0.795,0.0038,0.0,4,1,0.25,5355.0
tcn,real_only,2,z_warmup,0.239,4526.9171,0.0096,0.0,3,0,0.0,
tcn,real_only,2,robust,0.297,693360.2375,0.0038,0.0,3,0,0.0,
tcn,real_plus_sim,0,raw,0.197,0.975,0.0075,0.086,5,0,0.0,
tcn,real_plus_sim,0,z_warmup,0.251,6.1152,0.0094,0.021,4,0,0.0,
tcn,real_plus_sim,0,robust,0.279,6.9319,0.0075,0.021,4,0,0.0,
tcn,real_plus_sim,1,raw,0.58,1.0,0.0,0.0,5,0,0.0,
tcn,real_plus_sim,1,z_warmup,0.586,8.1645,0.0063,0.0503,4,0,0.0,
tcn,real_plus_sim,1,robust,0.535,25.1865,0.0094,0.0421,4,0,0.0,
tcn,real_plus_sim,2,raw,0.561,1.0,-1.0,0.0357,4,0,0.0,
tcn,real_plus_sim,2,z_warmup,0.705,17301.5825,0.0096,0.0357,3,0,0.0,
tcn,real_plus_sim,2,robust,0.733,737736.2875,0.0096,0.0018,3,0,0.0,
xgboost,real_only,0,raw,0.655,0.855,0.0094,0.0134,5,0,0.0,
xgboost,real_only,0,z_warmup,0.749,988.241,0.0075,0.0096,4,0,0.0,
xgboost,real_only,0,robust,0.73,705.726,0.0094,0.0115,4,0,0.0,
xgboost,real_only,1,raw,0.233,0.005,0.0,0.1509,5,0,0.0,
xgboost,real_only,1,z_warmup,0.552,417.9143,0.0063,0.0094,4,0,0.0,
xgboost,real_only,1,robust,0.538,341.602,0.0063,0.0211,4,0,0.0,
xgboost,real_only,2,raw,0.778,0.135,0.0096,0.0161,4,2,0.5,3294.5
xgboost,real_only,2,z_warmup,0.367,7404.2716,0.0076,0.0018,3,1,0.333,4305.0
xgboost,real_only,2,robust,0.399,7715.528,0.0096,0.0054,3,1,0.333,4305.0
xgboost,real_plus_sim,0,raw,0.895,0.96,0.0075,0.0115,5,0,0.0,
xgboost,real_plus_sim,0,z_warmup,0.83,195.5812,0.0094,0.021,4,0,0.0,
xgboost,real_plus_sim,0,robust,0.844,422.3536,0.0075,0.0038,4,0,0.0,
xgboost,real_plus_sim,1,raw,0.332,0.19,0.0094,0.0421,5,0,0.0,
xgboost,real_plus_sim,1,z_warmup,0.476,59.2293,0.0094,0.0445,4,0,0.0,
xgboost,real_plus_sim,1,robust,0.473,504.4868,0.0094,0.0269,4,0,0.0,
xgboost,real_plus_sim,2,raw,0.832,0.84,0.0096,0.0107,4,2,0.5,12523.0
xgboost,real_plus_sim,2,z_warmup,0.148,7371.1112,0.0057,0.0036,3,0,0.0,
xgboost,real_plus_sim,2,robust,0.182,5324.2638,0.0057,0.025,3,0,0.0,
