model,fold,seed,condition,metric_name,value
xgboost,0,42,real_only,tuning_skipped,0.0
xgboost,0,42,real_only,n_configs_tried,16.0
xgboost,0,42,real_only,n_configs_scored,16.0
xgboost,0,42,real_only,tune_val_pr_auc,0.4919520330068518
xgboost,0,42,real_only,tune_seconds,185.74687681696372
xgboost,0,42,real_only,val_pr_auc,0.0003544842254519
xgboost,0,42,real_only,val_ece_before,0.0187990928114936
xgboost,0,42,real_only,val_ece_after,1.8884756834027887e-06
xgboost,0,42,real_only,val_brier_before,0.0092483581288573
xgboost,0,42,real_only,val_brier_after,8.880715426386338e-05
xgboost,0,42,real_only,val_positive_events,1.0
xgboost,0,42,real_only,fit_seconds,193.60402989108115
xgboost,0,42,real_only,n_features,95.0
xgboost,0,42,real_only,n_train_windows,19407.0
xgboost,0,42,real_only,val_positive_windows,1.0
xgboost,0,42,real_plus_sim,val_pr_auc,0.0002492522432701
xgboost,0,42,real_plus_sim,val_ece_before,0.0362514415804467
xgboost,0,42,real_plus_sim,val_ece_after,4.899483407674487e-05
xgboost,0,42,real_plus_sim,val_brier_before,0.0228945356770232
xgboost,0,42,real_plus_sim,val_brier_after,8.88358186413543e-05
xgboost,0,42,real_plus_sim,val_positive_events,1.0
xgboost,0,42,real_plus_sim,fit_seconds,5.152406617067754
xgboost,0,42,real_plus_sim,n_features,95.0
xgboost,0,42,real_plus_sim,n_train_windows,63236.0
xgboost,1,42,real_only,tuning_skipped,1.0
xgboost,1,42,real_only,n_configs_tried,0.0
xgboost,1,42,real_only,val_pr_auc,0.7762404076432824
xgboost,1,42,real_only,val_ece_before,0.048549832876226
xgboost,1,42,real_only,val_ece_after,0.0197914871529248
xgboost,1,42,real_only,val_brier_before,0.0471367093593198
xgboost,1,42,real_only,val_brier_after,0.0268323990707783
xgboost,1,42,real_only,val_positive_events,3.0
xgboost,1,42,real_only,fit_seconds,5.351673778146505
xgboost,1,42,real_only,n_features,95.0
xgboost,1,42,real_only,n_train_windows,16666.0
xgboost,1,42,real_only,val_positive_windows,463.0
xgboost,1,42,real_plus_sim,val_pr_auc,0.2110568716116602
xgboost,1,42,real_plus_sim,val_ece_before,0.0583000347459511
xgboost,1,42,real_plus_sim,val_ece_after,0.0177819359142138
xgboost,1,42,real_plus_sim,val_brier_before,0.0606812801493798
xgboost,1,42,real_plus_sim,val_brier_after,0.0555919951499241
xgboost,1,42,real_plus_sim,val_positive_events,3.0
xgboost,1,42,real_plus_sim,fit_seconds,5.560045973863453
xgboost,1,42,real_plus_sim,n_features,95.0
xgboost,1,42,real_plus_sim,n_train_windows,60495.0
xgboost,2,42,real_only,tuning_skipped,0.0
xgboost,2,42,real_only,n_configs_tried,16.0
xgboost,2,42,real_only,n_configs_scored,16.0
xgboost,2,42,real_only,tune_val_pr_auc,0.5027449547023266
xgboost,2,42,real_only,tune_seconds,126.45396385807544
xgboost,2,42,real_only,val_pr_auc,0.075008699509411
xgboost,2,42,real_only,val_ece_before,0.0557960174276083
xgboost,2,42,real_only,val_ece_after,0.005235630063602
xgboost,2,42,real_only,val_brier_before,0.0555616532021923
xgboost,2,42,real_only,val_brier_after,0.0518620537761466
xgboost,2,42,real_only,val_positive_events,5.0
xgboost,2,42,real_only,fit_seconds,132.02979261009023
xgboost,2,42,real_only,n_features,95.0
xgboost,2,42,real_only,n_train_windows,18266.0
xgboost,2,42,real_only,val_positive_windows,638.0
xgboost,2,42,real_plus_sim,val_pr_auc,0.1150145312355761
xgboost,2,42,real_plus_sim,val_ece_before,0.0716718955101796
xgboost,2,42,real_plus_sim,val_ece_after,0.014100909860478
xgboost,2,42,real_plus_sim,val_brier_before,0.0673652613580312
xgboost,2,42,real_plus_sim,val_brier_after,0.0512675067927526
xgboost,2,42,real_plus_sim,val_positive_events,5.0
xgboost,2,42,real_plus_sim,fit_seconds,5.965887457830831
xgboost,2,42,real_plus_sim,n_features,95.0
xgboost,2,42,real_plus_sim,n_train_windows,62095.0
gru,0,42,real_only,pr_auc,0.3193493038875314
gru,0,42,real_only,event_recall,0.0
gru,0,42,real_only,far,0.003927554082965217
gru,0,42,real_only,lead_time,
gru,0,42,real_only,ece,0.10191275143378938
gru,0,42,real_only,threshold,0.9791553662131701
gru,0,42,real_only,n_test_events,5.0
gru,0,42,real_only,n_test_flagged,0.0
gru,1,42,real_only,pr_auc,0.009056486732575657
gru,1,42,real_only,event_recall,0.0
gru,1,42,real_only,far,0.08954593729493374
gru,1,42,real_only,lead_time,
gru,1,42,real_only,ece,0.11174422879918895
gru,1,42,real_only,threshold,0.30965972626557026
gru,1,42,real_only,n_test_events,5.0
gru,1,42,real_only,n_test_flagged,0.0
gru,2,42,real_only,pr_auc,0.11984761475462431
gru,2,42,real_only,event_recall,0.0
gru,2,42,real_only,far,0.01830804195999795
gru,2,42,real_only,lead_time,
gru,2,42,real_only,ece,0.06926617255793299
gru,2,42,real_only,threshold,0.5291287189877861
gru,2,42,real_only,n_test_events,4.0
gru,2,42,real_only,n_test_flagged,0.0
gru,0,42,real_plus_sim,pr_auc,0.31424097756015246
gru,0,42,real_plus_sim,event_recall,0.2
gru,0,42,real_plus_sim,far,0.009818885207413041
gru,0,42,real_plus_sim,lead_time,2096.0
gru,0,42,real_plus_sim,ece,0.061412528854311435
gru,0,42,real_plus_sim,threshold,0.979874704361525
gru,0,42,real_plus_sim,n_test_events,5.0
gru,0,42,real_plus_sim,n_test_flagged,1.0
gru,1,42,real_plus_sim,pr_auc,0.016728403488488648
gru,1,42,real_plus_sim,event_recall,0.0
gru,1,42,real_plus_sim,far,0.04830767669858267
gru,1,42,real_plus_sim,lead_time,
gru,1,42,real_plus_sim,ece,0.10090793712371778
gru,1,42,real_plus_sim,threshold,0.5376496450713484
gru,1,42,real_plus_sim,n_test_events,5.0
gru,1,42,real_plus_sim,n_test_flagged,0.0
gru,2,42,real_plus_sim,pr_auc,0.16435397987330858
gru,2,42,real_plus_sim,event_recall,0.0
gru,2,42,real_plus_sim,far,0.027462062939996923
gru,2,42,real_plus_sim,lead_time,
gru,2,42,real_plus_sim,ece,0.07347660031506131
gru,2,42,real_plus_sim,threshold,0.9676920310091746
gru,2,42,real_plus_sim,n_test_events,4.0
gru,2,42,real_plus_sim,n_test_flagged,0.0
tcn,0,42,real_only,pr_auc,0.035912668533147854
tcn,0,42,real_only,event_recall,0.0
tcn,0,42,real_only,far,0.019637770414826082
tcn,0,42,real_only,lead_time,
tcn,0,42,real_only,ece,0.43655998865881046
tcn,0,42,real_only,threshold,0.8671776384861326
tcn,0,42,real_only,n_test_events,5.0
tcn,0,42,real_only,n_test_flagged,0.0
tcn,1,42,real_only,pr_auc,0.010655738878017382
tcn,1,42,real_only,event_recall,0.0
tcn,1,42,real_only,far,0.07658534110750911
tcn,1,42,real_only,lead_time,
tcn,1,42,real_only,ece,0.45727229159506905
tcn,1,42,real_only,threshold,0.9897323240358625
tcn,1,42,real_only,n_test_events,5.0
tcn,1,42,real_only,n_test_flagged,0.0
tcn,2,42,real_only,pr_auc,0.023990121471775535
tcn,2,42,real_only,event_recall,0.25
tcn,2,42,real_only,far,0.0
tcn,2,42,real_only,lead_time,5355.0
tcn,2,42,real_only,ece,0.38793610724819017
tcn,2,42,real_only,threshold,0.7942366260279363
tcn,2,42,real_only,n_test_events,4.0
tcn,2,42,real_only,n_test_flagged,1.0
tcn,0,42,real_plus_sim,pr_auc,0.033353421717133416
tcn,0,42,real_plus_sim,event_recall,0.0
tcn,0,42,real_plus_sim,far,0.08640618982523476
tcn,0,42,real_plus_sim,lead_time,
tcn,0,42,real_plus_sim,ece,0.6148930495057858
tcn,0,42,real_plus_sim,threshold,0.9747903147488981
tcn,0,42,real_plus_sim,n_test_events,5.0
tcn,0,42,real_plus_sim,n_test_flagged,0.0
tcn,1,42,real_plus_sim,pr_auc,0.14043046399481832
tcn,1,42,real_plus_sim,event_recall,0.0
tcn,1,42,real_plus_sim,far,0.0
tcn,1,42,real_plus_sim,lead_time,
tcn,1,42,real_plus_sim,ece,0.173059099959306
tcn,1,42,real_plus_sim,threshold,1.0
tcn,1,42,real_plus_sim,n_test_events,5.0
tcn,1,42,real_plus_sim,n_test_flagged,0.0
tcn,2,42,real_plus_sim,pr_auc,0.1742229230612264
tcn,2,42,real_plus_sim,event_recall,0.0
tcn,2,42,real_plus_sim,far,0.0366160839199959
tcn,2,42,real_plus_sim,lead_time,
tcn,2,42,real_plus_sim,ece,0.10197577053090284
tcn,2,42,real_plus_sim,threshold,1.0
tcn,2,42,real_plus_sim,n_test_events,4.0
tcn,2,42,real_plus_sim,n_test_flagged,0.0
xgboost,0,42,real_only,pr_auc,0.16237420861708912
xgboost,0,42,real_only,event_recall,0.0
xgboost,0,42,real_only,far,0.02552910153927391
xgboost,0,42,real_only,lead_time,
xgboost,0,42,real_only,ece,0.05490372040381154
xgboost,0,42,real_only,threshold,0.0006278857166685609
xgboost,0,42,real_only,n_test_events,5.0
xgboost,0,42,real_only,n_test_flagged,0.0
xgboost,1,42,real_only,pr_auc,0.008565681869170448
xgboost,1,42,real_only,event_recall,0.2
xgboost,1,42,real_only,far,0.1908742347602535
xgboost,1,42,real_only,lead_time,1843.0
xgboost,1,42,real_only,ece,0.2016043114022233
xgboost,1,42,real_only,threshold,0.24806847333840662
xgboost,1,42,real_only,n_test_events,5.0
xgboost,1,42,real_only,n_test_flagged,1.0
xgboost,2,42,real_only,pr_auc,0.16757766989284523
xgboost,2,42,real_only,event_recall,0.5
xgboost,2,42,real_only,far,0.020138846155997744
xgboost,2,42,real_only,lead_time,3369.5
xgboost,2,42,real_only,ece,0.027728281958445785
xgboost,2,42,real_only,threshold,0.11987826339251284
xgboost,2,42,real_only,n_test_events,4.0
xgboost,2,42,real_only,n_test_flagged,2.0
xgboost,0,42,real_plus_sim,pr_auc,0.45977223111789367
xgboost,0,42,real_plus_sim,event_recall,0.0
xgboost,0,42,real_plus_sim,far,0.007855108165930434
xgboost,0,42,real_plus_sim,lead_time,
xgboost,0,42,real_plus_sim,ece,0.05487478180626264
xgboost,0,42,real_plus_sim,threshold,0.0012322691912873716
