rank,feature,importance,importance_std,channel,stat,scale
1,P-JUS-CKGL|min|scale1.0,6.164353804064449e-05,3.057846941834964e-05,P-JUS-CKGL,min,1.0
2,T-JUS-CKP|max|scale1.0,5.455169907643835e-05,1.977695728191933e-06,T-JUS-CKP,max,1.0
3,P-JUS-CKGL|min|scale0.5,2.767979906081223e-05,1.8192584853320956e-05,P-JUS-CKGL,min,0.5
4,P-ANULAR|std|scale1.0,2.2744745686349112e-05,2.5832145300385333e-05,P-ANULAR,std,1.0
5,P-JUS-CKGL|max|scale1.0,2.2728452761749485e-05,2.1913281546998692e-05,P-JUS-CKGL,max,1.0
6,P-MON-CKP|mean|scale1.0,2.1381279109365896e-05,2.5027980513233726e-05,P-MON-CKP,mean,1.0
7,T-JUS-CKP|presence_frac,1.800418834265921e-05,1.1493257160318025e-05,T-JUS-CKP,presence_frac,
8,T-JUS-CKP|min|scale0.5,1.7368294318864575e-05,6.504093550112992e-05,T-JUS-CKP,min,0.5
9,P-JUS-CKGL|min|scale0.25,1.70791542084347e-05,1.4333141122894434e-05,P-JUS-CKGL,min,0.25
10,P-JUS-CKGL|mean|scale0.25,1.6981105493034778e-05,1.0146482666099672e-05,P-JUS-CKGL,mean,0.25
11,P-ANULAR|std|scale0.25,1.631463300540664e-05,1.518968854856955e-05,P-ANULAR,std,0.25
12,P-ANULAR|last_diff|scale1.0,1.3475500597725523e-05,2.6865291814528245e-05,P-ANULAR,last_diff,1.0
13,P-JUS-CKGL|last_diff|scale1.0,1.260814289666878e-05,6.228284968927878e-06,P-JUS-CKGL,last_diff,1.0
14,T-JUS-CKP|max|scale0.5,1.2474721357476273e-05,1.8055685113194427e-05,T-JUS-CKP,max,0.5
15,P-JUS-CKGL|max|scale0.5,1.1602136099220586e-05,9.951647150832314e-06,P-JUS-CKGL,max,0.5
16,T-JUS-CKP|slope|scale1.0,1.0867408566301597e-05,7.856415710531785e-06,T-JUS-CKP,slope,1.0
17,P-JUS-CKGL|std|scale0.25,1.0511342787196756e-05,5.2579790135335747e-05,P-JUS-CKGL,std,0.25
18,P-JUS-CKGL|max|scale0.25,8.43845963181772e-06,1.7184309234310637e-05,P-JUS-CKGL,max,0.25
19,P-MON-CKP|mean|scale0.25,8.221444120527506e-06,1.0183074820266511e-06,P-MON-CKP,mean,0.25
20,T-JUS-CKP|mean|scale1.0,6.535833747329969e-06,1.1301099634830525e-05,T-JUS-CKP,mean,1.0
21,P-MON-CKP|mean|scale0.5,5.236034034790848e-06,4.072043049541556e-06,P-MON-CKP,mean,0.5
22,T-TPT|std|scale0.25,4.485320129433252e-06,5.951476892220553e-06,T-TPT,std,0.25
23,P-ANULAR|mean|scale0.5,4.296776740428626e-06,2.0117417208830703e-05,P-ANULAR,mean,0.5
24,P-JUS-CKGL|mean|scale1.0,3.8162952493520475e-06,4.003529836463776e-06,P-JUS-CKGL,mean,1.0
25,P-MON-CKP|max|scale0.25,3.563803603018041e-06,4.320608415254327e-06,P-MON-CKP,max,0.25
