rank,feature,importance,channel,stat,scale
1,T-TPT|min|scale1.0,0.17928959429264069,T-TPT,min,1.0
2,T-TPT|max|scale1.0,0.14896832406520844,T-TPT,max,1.0
3,P-MON-CKP|min|scale0.25,0.11100108921527863,P-MON-CKP,min,0.25
4,P-MON-CKP|max|scale1.0,0.10807663947343826,P-MON-CKP,max,1.0
5,P-JUS-CKGL|min|scale1.0,0.06850895285606384,P-JUS-CKGL,min,1.0
6,P-MON-CKP|min|scale0.5,0.053189054131507874,P-MON-CKP,min,0.5
7,T-TPT|mean|scale1.0,0.05084645003080368,T-TPT,mean,1.0
8,P-JUS-CKGL|min|scale0.25,0.027770237997174263,P-JUS-CKGL,min,0.25
9,T-TPT|presence_frac,0.023605912923812866,T-TPT,presence_frac,
10,P-JUS-CKGL|mean|scale0.5,0.01873558759689331,P-JUS-CKGL,mean,0.5
11,P-ANULAR|max|scale1.0,0.016940943896770477,P-ANULAR,max,1.0
12,P-JUS-CKGL|max|scale0.25,0.013579883612692356,P-JUS-CKGL,max,0.25
13,P-MON-CKP|max|scale0.5,0.01269336324185133,P-MON-CKP,max,0.5
14,P-JUS-CKGL|mean|scale1.0,0.011924728751182556,P-JUS-CKGL,mean,1.0
15,P-JUS-CKGL|mean|scale0.25,0.010368400253355503,P-JUS-CKGL,mean,0.25
16,P-JUS-CKGL|max|scale0.5,0.00956955086439848,P-JUS-CKGL,max,0.5
17,P-ANULAR|min|scale0.5,0.008825321681797504,P-ANULAR,min,0.5
18,T-TPT|last_diff|scale1.0,0.007380688097327948,T-TPT,last_diff,1.0
19,P-JUS-CKGL|std|scale0.25,0.006934877950698137,P-JUS-CKGL,std,0.25
20,P-ANULAR|last_diff|scale0.25,0.006168500520288944,P-ANULAR,last_diff,0.25
21,P-JUS-CKGL|min|scale0.5,0.005706263240426779,P-JUS-CKGL,min,0.5
22,P-MON-CKP|std|scale0.25,0.005623967852443457,P-MON-CKP,std,0.25
23,P-ANULAR|mean|scale1.0,0.0050451974384486675,P-ANULAR,mean,1.0
24,T-TPT|std|scale1.0,0.004733667708933353,T-TPT,std,1.0
25,T-JUS-CKP|mean|scale0.25,0.004612305201590061,T-JUS-CKP,mean,0.25
26,T-JUS-CKP|presence_frac,0.00445982813835144,T-JUS-CKP,presence_frac,
27,T-JUS-CKP|min|scale1.0,0.004030329640954733,T-JUS-CKP,min,1.0
28,T-JUS-CKP|slope|scale1.0,0.003992352169007063,T-JUS-CKP,slope,1.0
29,T-JUS-CKP|max|scale1.0,0.003979403059929609,T-JUS-CKP,max,1.0
30,T-JUS-CKP|mean|scale1.0,0.0035235534887760878,T-JUS-CKP,mean,1.0
31,T-JUS-CKP|std|scale1.0,0.003511749440804124,T-JUS-CKP,std,1.0
32,P-MON-CKP|min|scale1.0,0.0032312332186847925,P-MON-CKP,min,1.0
33,P-JUS-CKGL|std|scale1.0,0.0028374299872666597,P-JUS-CKGL,std,1.0
34,P-MON-CKP|mean|scale0.5,0.0027505590114742517,P-MON-CKP,mean,0.5
35,P-MON-CKP|mean|scale1.0,0.0026397351175546646,P-MON-CKP,mean,1.0
36,T-TPT|slope|scale1.0,0.0024555122945457697,T-TPT,slope,1.0
37,P-ANULAR|mean|scale0.25,0.002407877240329981,P-ANULAR,mean,0.25
38,T-TPT|std|scale0.5,0.0023155901581048965,T-TPT,std,0.5
39,P-ANULAR|max|scale0.5,0.0021997224539518356,P-ANULAR,max,0.5
40,P-MON-CKP|max|scale0.25,0.00205126591026783,P-MON-CKP,max,0.25
41,T-JUS-CKP|min|scale0.5,0.0020482034888118505,T-JUS-CKP,min,0.5
42,P-MON-CKP|std|scale0.5,0.002007602946832776,P-MON-CKP,std,0.5
43,P-JUS-CKGL|last_diff|scale0.5,0.0018305531702935696,P-JUS-CKGL,last_diff,0.5
44,P-ANULAR|last_diff|scale0.5,0.001742989756166935,P-ANULAR,last_diff,0.5
45,T-TPT|min|scale0.5,0.0016892087878659368,T-TPT,min,0.5
46,P-JUS-CKGL|max|scale1.0,0.001661985064856708,P-JUS-CKGL,max,1.0
47,P-ANULAR|std|scale0.25,0.0016213285271078348,P-ANULAR,std,0.25
48,T-TPT|slope|scale0.5,0.0014163044979795814,T-TPT,slope,0.5
49,P-ANULAR|min|scale1.0,0.0013664342695847154,P-ANULAR,min,1.0
50,P-MON-CKP|std|scale1.0,0.0010825317585840821,P-MON-CKP,std,1.0
51,P-JUS-CKGL|last_diff|scale0.25,0.0010787113569676876,P-JUS-CKGL,last_diff,0.25
52,T-TPT|slope|scale0.25,0.001069801626726985,T-TPT,slope,0.25
53,P-ANULAR|slope|scale1.0,0.0009669426362961531,P-ANULAR,slope,1.0
54,P-JUS-CKGL|std|scale0.5,0.0009307784494012594,P-JUS-CKGL,std,0.5
55,P-ANULAR|std|scale0.5,0.0008895815699361265,P-ANULAR,std,0.5
56,T-TPT|max|scale0.5,0.000858962768688798,T-TPT,max,0.5
57,T-JUS-CKP|last_diff|scale1.0,0.0008104766602627933,T-JUS-CKP,last_diff,1.0
58,P-ANULAR|max|scale0.25,0.0007944498211145401,P-ANULAR,max,0.25
59,T-JUS-CKP|max|scale0.5,0.0007336640846915543,T-JUS-CKP,max,0.5
60,T-JUS-CKP|max|scale0.25,0.0006921447347849607,T-JUS-CKP,max,0.25
61,T-JUS-CKP|min|scale0.25,0.0006451208610087633,T-JUS-CKP,min,0.25
62,P-MON-CKP|last_diff|scale0.25,0.0006013804813846946,P-MON-CKP,last_diff,0.25
63,T-TPT|std|scale0.25,0.000552105251699686,T-TPT,std,0.25
64,T-TPT|min|scale0.25,0.0005368063575588167,T-TPT,min,0.25
65,P-MON-CKP|mean|scale0.25,0.0005278376629576087,P-MON-CKP,mean,0.25
66,T-TPT|mean|scale0.5,0.0004927049740217626,T-TPT,mean,0.5
67,P-ANULAR|slope|scale0.5,0.00048617232823744416,P-ANULAR,slope,0.5
68,T-JUS-CKP|std|scale0.25,0.00047965339035727084,T-JUS-CKP,std,0.25
69,T-JUS-CKP|slope|scale0.25,0.0004764997574966401,T-JUS-CKP,slope,0.25
70,P-MON-CKP|slope|scale0.5,0.0004357845173217356,P-MON-CKP,slope,0.5
71,P-ANULAR|std|scale1.0,0.0003689686127472669,P-ANULAR,std,1.0
72,T-JUS-CKP|last_diff|scale0.5,0.00033294473541900516,T-JUS-CKP,last_diff,0.5
73,P-ANULAR|last_diff|scale1.0,0.00025828045909292996,P-ANULAR,last_diff,1.0
74,T-TPT|max|scale0.25,0.00023377445177175105,T-TPT,max,0.25
75,P-ANULAR|presence_frac,0.0001993704936467111,P-ANULAR,presence_frac,
76,T-JUS-CKP|std|scale0.5,0.00017387156549375504,T-JUS-CKP,std,0.5
77,T-JUS-CKP|slope|scale0.5,0.0001561765093356371,T-JUS-CKP,slope,0.5
78,P-JUS-CKGL|slope|scale1.0,0.0001542526442790404,P-JUS-CKGL,slope,1.0
79,P-JUS-CKGL|last_diff|scale1.0,0.00013785870396532118,P-JUS-CKGL,last_diff,1.0
80,T-TPT|last_diff|scale0.25,0.00013376193237490952,T-TPT,last_diff,0.25
81,P-JUS-CKGL|slope|scale0.25,0.00012869904458057135,P-JUS-CKGL,slope,0.25
82,T-TPT|mean|scale0.25,0.00012580597831401974,T-TPT,mean,0.25
83,T-JUS-CKP|last_diff|scale0.25,0.00011349028500262648,T-JUS-CKP,last_diff,0.25
84,P-MON-CKP|slope|scale1.0,0.0001068511774064973,P-MON-CKP,slope,1.0
85,P-MON-CKP|slope|scale0.25,0.00010038585605798289,P-MON-CKP,slope,0.25
