n_estimators,max_depth,learning_rate,subsample,mean_val_pr_auc,n_inner_scored,n_inner_skipped
600,3,0.05,0.8,0.5027449547023266,2,1
300,3,0.05,0.8,0.4989931180856406,2,1
300,3,0.1,0.8,0.49086320626122915,2,1
300,6,0.05,0.8,0.4907620118243298,2,1
600,3,0.1,0.8,0.4897452648205724,2,1
600,6,0.05,0.8,0.4879252053051365,2,1
300,6,0.1,0.8,0.48326587505143404,2,1
600,3,0.05,1.0,0.47864431907886634,2,1
600,6,0.1,0.8,0.4780467277484839,2,1
300,3,0.05,1.0,0.4754766229080402,2,1
300,3,0.1,1.0,0.4754482447692244,2,1
600,3,0.1,1.0,0.47436159172329956,2,1
300,6,0.05,1.0,0.4732473935606647,2,1
600,6,0.05,1.0,0.47228624905044647,2,1
300,6,0.1,1.0,0.45133942937758964,2,1
600,6,0.1,1.0,0.44885793441551697,2,1
