rank,feature,importance,importance_std,channel,stat,scale
1,P-JUS-CKGL|max|scale1.0,0.10848498209841775,0.001482103745232281,P-JUS-CKGL,max,1.0
2,T-TPT|presence_frac,0.06998716138010042,0.002552012123131656,T-TPT,presence_frac,
3,T-TPT|min|scale1.0,0.047514328526661535,0.0035665011960314915,T-TPT,min,1.0
4,T-TPT|max|scale1.0,0.04330272972321051,0.0011388739521938787,T-TPT,max,1.0
5,P-JUS-CKGL|slope|scale0.5,0.02819511551004774,0.0015224710315301596,P-JUS-CKGL,slope,0.5
6,P-JUS-CKGL|last_diff|scale0.25,0.021332783729169212,0.002392801975211075,P-JUS-CKGL,last_diff,0.25
7,P-JUS-CKGL|slope|scale0.25,0.020890697020726972,0.0014972900254198404,P-JUS-CKGL,slope,0.25
8,P-JUS-CKGL|slope|scale1.0,0.018725944275681326,0.0003664968876625894,P-JUS-CKGL,slope,1.0
9,P-JUS-CKGL|min|scale1.0,0.011355196731062616,0.0020096125753761335,P-JUS-CKGL,min,1.0
10,P-ANULAR|min|scale0.25,0.010353477607961454,0.00027716327672271113,P-ANULAR,min,0.25
11,P-MON-CKP|mean|scale1.0,0.009846446974256445,0.001001826555610554,P-MON-CKP,mean,1.0
12,P-MON-CKP|min|scale0.5,0.007683505254643397,0.0004363446582602977,P-MON-CKP,min,0.5
13,T-TPT|mean|scale1.0,0.007426205212326814,0.000481059140186885,T-TPT,mean,1.0
14,P-JUS-CKGL|mean|scale0.25,0.007346546095567874,0.0006321643574541756,P-JUS-CKGL,mean,0.25
15,P-ANULAR|min|scale1.0,0.0073360232317415345,0.0033582880093329416,P-ANULAR,min,1.0
16,P-JUS-CKGL|min|scale0.25,0.006850075562634772,0.0017376235206194323,P-JUS-CKGL,min,0.25
17,P-ANULAR|presence_frac,0.006619565620723128,0.0004973834064095537,P-ANULAR,presence_frac,
18,T-TPT|max|scale0.5,0.005924297976021115,0.00032197927754670503,T-TPT,max,0.5
19,T-TPT|max|scale0.25,0.005448122014200263,0.0004664278440617872,T-TPT,max,0.25
20,P-JUS-CKGL|std|scale0.25,0.005366064408265453,0.0011077320227710452,P-JUS-CKGL,std,0.25
21,P-JUS-CKGL|presence_frac,0.004635761205531763,0.0017832087282575525,P-JUS-CKGL,presence_frac,
22,T-TPT|std|scale1.0,0.0042440142126967065,0.0011198760705712846,T-TPT,std,1.0
23,P-MON-CKP|min|scale0.25,0.004237687731410244,0.0002534925083745406,P-MON-CKP,min,0.25
24,T-TPT|mean|scale0.25,0.0034367010123250606,0.0001958972901742475,T-TPT,mean,0.25
25,P-MON-CKP|min|scale1.0,0.0033562541865859775,0.0019266584592111905,P-MON-CKP,min,1.0
