rank,feature,importance,channel,stat,scale
1,T-JUS-CKP|min|scale0.5,0.23703253269195557,T-JUS-CKP,min,0.5
2,P-JUS-CKGL|last_diff|scale0.5,0.17338842153549194,P-JUS-CKGL,last_diff,0.5
3,P-JUS-CKGL|max|scale1.0,0.17227010428905487,P-JUS-CKGL,max,1.0
4,T-JUS-CKP|min|scale0.25,0.13133686780929565,T-JUS-CKP,min,0.25
5,P-ANULAR|mean|scale1.0,0.04739898443222046,P-ANULAR,mean,1.0
6,T-JUS-CKP|min|scale1.0,0.03883599117398262,T-JUS-CKP,min,1.0
7,P-JUS-CKGL|last_diff|scale0.25,0.0356094092130661,P-JUS-CKGL,last_diff,0.25
8,T-TPT|max|scale1.0,0.024493172764778137,T-TPT,max,1.0
9,T-TPT|mean|scale0.25,0.009627687744796276,T-TPT,mean,0.25
10,T-TPT|presence_frac,0.007363471668213606,T-TPT,presence_frac,
11,P-JUS-CKGL|min|scale0.25,0.007029970642179251,P-JUS-CKGL,min,0.25
12,P-JUS-CKGL|slope|scale0.25,0.006471836008131504,P-JUS-CKGL,slope,0.25
13,P-JUS-CKGL|slope|scale0.5,0.006435733288526535,P-JUS-CKGL,slope,0.5
14,P-MON-CKP|std|scale0.25,0.00586102157831192,P-MON-CKP,std,0.25
15,T-JUS-CKP|last_diff|scale1.0,0.0054678176529705524,T-JUS-CKP,last_diff,1.0
16,T-JUS-CKP|mean|scale0.5,0.00525667704641819,T-JUS-CKP,mean,0.5
17,T-TPT|std|scale0.5,0.005192466080188751,T-TPT,std,0.5
18,T-TPT|std|scale1.0,0.004958280827850103,T-TPT,std,1.0
19,T-TPT|max|scale0.25,0.0049480958841741085,T-TPT,max,0.25
20,P-ANULAR|max|scale1.0,0.0047100624069571495,P-ANULAR,max,1.0
21,P-ANULAR|max|scale0.5,0.0043491884134709835,P-ANULAR,max,0.5
22,P-JUS-CKGL|std|scale0.25,0.004220141097903252,P-JUS-CKGL,std,0.25
23,P-JUS-CKGL|mean|scale1.0,0.004089912865310907,P-JUS-CKGL,mean,1.0
24,P-ANULAR|slope|scale1.0,0.002786236582323909,P-ANULAR,slope,1.0
25,T-JUS-CKP|max|scale0.25,0.0026944163255393505,T-JUS-CKP,max,0.25
26,P-MON-CKP|std|scale0.5,0.0021050830837339163,P-MON-CKP,std,0.5
27,T-JUS-CKP|max|scale1.0,0.0020317628514021635,T-JUS-CKP,max,1.0
28,T-JUS-CKP|mean|scale0.25,0.0019502638606354594,T-JUS-CKP,mean,0.25
29,P-JUS-CKGL|slope|scale1.0,0.0018914026441052556,P-JUS-CKGL,slope,1.0
30,T-TPT|max|scale0.5,0.0016874602297320962,T-TPT,max,0.5
31,P-MON-CKP|min|scale0.25,0.0015722141833975911,P-MON-CKP,min,0.25
32,P-JUS-CKGL|std|scale0.5,0.0015498955035582185,P-JUS-CKGL,std,0.5
33,P-JUS-CKGL|max|scale0.25,0.0014747818931937218,P-JUS-CKGL,max,0.25
34,P-JUS-CKGL|mean|scale0.25,0.0013423293130472302,P-JUS-CKGL,mean,0.25
35,P-MON-CKP|mean|scale0.25,0.001333517604507506,P-MON-CKP,mean,0.25
36,P-ANULAR|last_diff|scale1.0,0.001322747441008687,P-ANULAR,last_diff,1.0
